"ligand","metric","mean","sd"
"CA1","com_mean_nm",2.28176666666667,1.107080775433
"LYS1","com_mean_nm",4.21836666666667,0.481697315057218
"CA1","mindist_mean_nm",0.462983333333333,0.411206047296648
"LYS1","mindist_mean_nm",1.18062,0.713732589419875
"CA1","contact_lt_0.35",0.85135,0.19971310948458
"LYS1","contact_lt_0.35",0.450123333333333,0.393747611717625
"CA1","contact_lt_0.45",0.858016666666667,0.191788619144446
"LYS1","contact_lt_0.45",0.479683333333333,0.378115045499823
"CA1","contact_lt_0.60",0.86458,0.184971278581298
"LYS1","contact_lt_0.60",0.50305,0.364423779822338
