"metric","group","mean_across_reps","sd_across_reps"
"hbond","CA1",3.37926333333333,1.69708231946283
"hbond","LYS1",1.18164766666667,1.47165489255135
"rg_protein","Protein",2.23546666666667,0.00418131956842972
"rmsd_ligand_pose","CA1",1.367626,1.47277462873856
"rmsd_ligand_pose","LYS1",3.63612,0.99811004658805
"rmsd_ligand_self","CA1",0.118491666666667,0.0262587655142684
"rmsd_ligand_self","LYS1",0.132991666666667,0.00330221990989899
"rmsd_protein","Protein",0.0242079333333333,0.000470655100188379
"rmsf","CA1",0.0977296666666667,0.00205834584395659
"rmsf","LYS1",0.12476,0.00463132292115331
"rmsf","Protein",0.0285168333333333,0.000108207455072807
