rep	metric	group	n_points	x_start	x_end	mean	sd	min	max	last
rep1	rmsd_protein	Protein	10001	0	100	0.0246403	0.00127884	0.0005009	0.0300519	0.0228919
rep1	rg_protein	Protein	10001	0	100	2.23475	0.00210945	2.22603	2.24387	2.23414
rep1	rmsd_ligand_pose	CA1	10001	0	100	0.406862	0.237081	0.0004725	1.00502	0.687431
rep1	rmsd_ligand_pose	LYS1	10001	0	100	2.60263	0.931039	0.0005563	7.99623	2.43783
rep1	rmsd_ligand_self	CA1	10001	0	100	0.111286	0.0520247	0.0004573	0.189857	0.127731
rep1	rmsd_ligand_self	LYS1	10001	0	100	0.136176	0.0209077	0.000481	0.217234	0.132567
rep1	hbond	CA1	10001	0	100	4.42066	1.17618	0	9	3
rep1	hbond	LYS1	10001	0	100	2.86901	1.36068	0	6	4
rep1	rmsf	Protein	81	1	27	0.0286407	0.00601405	0.0203	0.0555	0.0555
rep1	rmsf	CA1	18	1066	1083	0.0980556	0.044871	0.028	0.1758	0.0938
rep1	rmsf	LYS1	25	1084	1108	0.119552	0.0416346	0.0296	0.1876	0.1659
rep2	rmsd_protein	Protein	10001	0	100	0.0237066	0.00122264	0.0004923	0.0288882	0.0249329
rep2	rg_protein	Protein	10001	0	100	2.23169	0.00207338	2.22389	2.23908	2.23344
rep2	rmsd_ligand_pose	CA1	10001	0	100	0.632786	0.863758	0.0004961	5.677	1.55137
rep2	rmsd_ligand_pose	LYS1	10001	0	100	3.71111	1.68183	0.0004634	8.50987	7.17094
rep2	rmsd_ligand_self	CA1	10001	0	100	0.096588	0.0586794	0.0004749	0.186631	0.0887079
rep2	rmsd_ligand_self	LYS1	10001	0	100	0.129583	0.0298083	0.0004341	0.231791	0.121269
rep2	hbond	CA1	10001	0	100	4.29617	1.9444	0	9	3
rep2	hbond	LYS1	10001	0	100	0.163684	0.503468	0	3	0
rep2	rmsf	Protein	81	1	27	0.0284407	0.00587339	0.0202	0.0497	0.0497
rep2	rmsf	CA1	18	1066	1083	0.0955278	0.0418834	0.0297	0.1694	0.0916
rep2	rmsf	LYS1	25	1084	1108	0.126312	0.0442771	0.0381	0.1818	0.1732
rep3	rmsd_protein	Protein	10001	0	100	0.0242769	0.00126734	0.0004991	0.0293172	0.0235937
rep3	rg_protein	Protein	10001	0	100	2.23996	0.00208334	2.23185	2.24963	2.24059
rep3	rmsd_ligand_pose	CA1	10001	0	100	3.06323	2.01108	0.0004826	8.16534	7.70442
rep3	rmsd_ligand_pose	LYS1	10001	0	100	4.59462	1.85962	0.0005421	9.40866	7.92617
rep3	rmsd_ligand_self	CA1	10001	0	100	0.147601	0.028163	0.0004132	0.190809	0.187419
rep3	rmsd_ligand_self	LYS1	10001	0	100	0.133216	0.0238461	0.0005103	0.214061	0.131872
rep3	hbond	CA1	10001	0	100	1.42096	1.55471	0	8	0
rep3	hbond	LYS1	10001	0	100	0.512249	0.972821	0	5	0
rep3	rmsf	Protein	81	1	27	0.0284691	0.00578302	0.0203	0.0455	0.0444
rep3	rmsf	CA1	18	1066	1083	0.0996056	0.0422054	0.0301	0.16	0.1196
rep3	rmsf	LYS1	25	1084	1108	0.128416	0.0439603	0.0364	0.1822	0.1805
