rep	metric	group	n_points	x_start	x_end	mean	sd	min	max	last
rep3	rmsd_protein	Protein	10001	0	100	0.0242769	0.00126734	0.0004991	0.0293172	0.0235937
rep3	rg_protein	Protein	10001	0	100	2.23996	0.00208334	2.23185	2.24963	2.24059
rep3	rmsd_ligand_pose	CA1	10001	0	100	3.06323	2.01108	0.0004826	8.16534	7.70442
rep3	rmsd_ligand_pose	LYS1	10001	0	100	4.59462	1.85962	0.0005421	9.40866	7.92617
rep3	rmsd_ligand_self	CA1	10001	0	100	0.147601	0.028163	0.0004132	0.190809	0.187419
rep3	rmsd_ligand_self	LYS1	10001	0	100	0.133216	0.0238461	0.0005103	0.214061	0.131872
rep3	hbond	CA1	10001	0	100	1.42096	1.55471	0	8	0
rep3	hbond	LYS1	10001	0	100	0.512249	0.972821	0	5	0
rep3	rmsf	Protein	81	1	27	0.0284691	0.00578302	0.0203	0.0455	0.0444
rep3	rmsf	CA1	18	1066	1083	0.0996056	0.0422054	0.0301	0.16	0.1196
rep3	rmsf	LYS1	25	1084	1108	0.128416	0.0439603	0.0364	0.1822	0.1805
